English sentence,Swahii Translation
These developments resulted in a rebirth of rebellious activities in northern Uganda.,Maendeleo haya yalisababisha kuzaliwa upya kwa shughuli za uasi kaskazini mwa Uganda.
Several rebel groups emerged during that conflict.,Vikundi kadhaa vya waasi viliibuka wakati wa mzozo huo.
"After independence, Uganda suffered from economic crises and experienced several military conflicts.","Baada ya uhuru, Uganda ilipata shida ya kiuchumi na ilipata mizozo kadhaa ya kijeshi."
Ugandan President was overthrown during the Ugandaâ€“Tanzania War.,Rais wa Uganda alipinduliwa wakati wa Vita vya Uganda -Tanzania.
"Many groups thereafter started rebellions, resulting in the highly destructive Ugandan Bush War.","Vikundi vingi baadaye vilianza uasi, na kusababisha vita vya Bush vya Uganda vikali."
He is the former president of Uganda.,Yeye ndiye rais wa zamani wa Uganda.
One rebel group was strongly opposed to compromise.,Kundi moja la waasi lilipingana sana na maelewano.
The political party intended to achieve a full victory after the election.,Chama cha siasa kilikusudia kupata ushindi kamili baada ya uchaguzi.
The members of that political party were from the same tribe.,Wajumbe wa chama hicho cha siasa walikuwa kutoka kabila moja.
The members of that political party were from the same tribe.,Wajumbe wa chama hicho cha siasa walikuwa kutoka kabila moja.
Uganda and Kenya signed an agreement.,Uganda na Kenya zilitia saini makubaliano.
The ruling political party fulfilled its promise.,Chama tawala cha siasa kilitimiza ahadi yake.
There was deep anger between the two country leaders.,Kulikuwa na hasira kubwa kati ya viongozi hao wawili wa nchi.
The political party eventually conquered the country's capital city.,Hatimaye chama cha siasa kilishinda mji mkuu wa nchi hiyo.
The electoral commission chairman declared the country's new president.,Mwenyekiti wa Tume ya Uchaguzi alitangaza rais mpya wa nchi hiyo.
Many political parties in Uganda have collapsed,Vyama vingi vya siasa nchini Uganda vimeanguka
Resistance continued in the eastern and northern Uganda.,Upinzani uliendelea katika Uganda ya Mashariki na Kaskazini.
No one will be killed.,Hakuna mtu atakayeuawa.
Civilians were simply rounded up and forcibly recruited to the rebel group.,Raia walikusanywa tu na kuajiriwa kwa nguvu kwa kikundi cha waasi.
The army defeated the remaining rebel groups.,Jeshi lilishinda vikundi vya waasi vilivyobaki.
Some soldiers refused to surrender.,Askari wengine walikataa kujisalimisha.
A number of soldiers retreated to the neighbouring country.,Askari kadhaa walirudi katika nchi jirani.
Many people in northern and eastern Uganda distrusted the political party,Watu wengi kaskazini na mashariki mwa Uganda waliamini chama cha siasa
The forces committed many war crimes.,Vikosi vilifanya uhalifu mwingi wa vita.
Northerners feared that the political party might want to take brutal revenge on them.,Wazee waliogopa kwamba chama cha siasa kinaweza kutaka kulipiza kisasi kwao.
The political party increased such worries through statements.,Chama cha siasa kiliongeza wasiwasi kama huo kupitia taarifa.
He was the first president of Uganda.,Alikuwa rais wa kwanza wa Uganda.
The army recruited thousands of new soldiers.,Jeshi liliajiri maelfu ya askari wapya.
Different political parties combined as one party.,Vyama tofauti vya siasa pamoja kama chama kimoja.
In which year did the Uganda bush war begin?,Je! Vita vya Bush vya Uganda vilianza mwaka gani?
The troops safeguarded all the areas that were captured by the rebels.,Vikosi vililinda maeneo yote ambayo yalitekwa na waasi.
The government eliminated groups that had refused to lay down arms.,Serikali iliondoa vikundi ambavyo vilikuwa vimekataa kuweka mikono.
The political party encountered little opposition in some parts of the country.,Chama cha siasa kilikutana na upinzani mdogo katika sehemu zingine za nchi.
Many locals were surprised that some soldiers behaved relatively well.,Watu wengi walishangaa kuwa askari wengine walifanya vizuri.
The political party also encountered little resistance in the West Nile region Uganda.,Chama cha siasa pia kilikutana na upinzani mdogo katika mkoa wa Magharibi wa Nile Uganda.
The local elders convinced most local militants to peacefully surrender and cooperate with government.,Wazee wa eneo hilo waliwashawishi wanamgambo wengi wa eneo hilo kujisalimisha kwa amani na kushirikiana na serikali.
The armed group agreed with the government.,Kikundi cha silaha kilikubaliana na serikali.
The regions were poor and the soldiers' wages supported the regions' economies.,Mikoa ilikuwa duni na mshahara wa askari waliunga mkono uchumi wa mikoa.
"The soldiers lost their jobs, the regions experienced economic chaos.","Askari walipoteza kazi zao, mikoa ilipata machafuko ya kiuchumi."
The government decided to separate many local army man which had guarded communities against cattle-raiders.,Serikali iliamua kumtenganisha watu wengi wa jeshi ambalo lilikuwa likilinda jamii dhidi ya wahalifu wa ng'ombe.
The government decided to separate many local army man which had guarded communities against cattle-raiders.,Serikali iliamua kumtenganisha watu wengi wa jeshi ambalo lilikuwa likilinda jamii dhidi ya wahalifu wa ng'ombe.
The political party feared that the self-defence groups might turn into rebels.,Chama cha siasa kiliogopa kwamba vikundi vya kujilinda vinaweza kugeuka kuwa waasi.
Northern and eastern pastoral communities were destroyed.,Jamii za kaskazini na mashariki ziliharibiwa.
Many veterans were no longer willing to work as peasants.,Maveterani wengi hawakuwa tayari kufanya kazi kama wakulima.
The political party attempted to include local leadership in the north and east. ,Chama cha siasa kilijaribu kujumuisha uongozi wa mitaa kaskazini na mashariki.
Local societies lost their old power in the new dominated government.,Jamii za mitaa zilipoteza nguvu zao za zamani katika serikali mpya iliyotawaliwa.
Many people fled into rural areas.,Watu wengi walikimbia vijijini.
Riots began in some parts of the country.,Mizizi ilianza katika sehemu zingine za nchi.
Local leaders have prepared a riot.,Viongozi wa eneo hilo wameandaa ghasia.
The former soldiers formed a rebel group.,Askari wa zamani waliunda kikundi cha waasi.
The political party lost popular support.,Chama cha siasa kilipoteza msaada maarufu.
The security condition in that region worsened.,Hali ya usalama katika mkoa huo ilizidi kuwa mbaya.
The former soldiers tortured civilians.,Askari wa zamani waliwatesa raia.
The former soldiers formed units within themselves.,Askari wa zamani waliunda vitengo ndani yao.
The ethnic troops suffered from discrimination in the past.,Vikosi vya kikabila viliteseka na ubaguzi hapo zamani.
The brutal behaviour between the northerners and the political party increased.,Tabia ya kikatili kati ya watu wa kaskazini na chama cha siasa iliongezeka.
The government ordered all former soldiers to report and hand over their weapons.,Serikali iliamuru askari wote wa zamani waripoti na kukabidhi silaha zao.
The scale of the abuses was unusual in the area.,Kiwango cha dhuluma kilikuwa cha kawaida katika eneo hilo.
The latter had often mistreated the local elites and townspeople.,Mara nyingi walikuwa wamewatendea vibaya wasomi na watu wa mjini.
A growing number of ex-soldiers were also arrested on suspicions of weapon ownership.,Idadi kubwa ya askari wa zamani pia walikamatwa kwa tuhuma za umiliki wa silaha.
Most former soldiers thereafter opted to flee into the bush.,Askari wengi wa zamani baadaye waliamua kukimbia ndani ya kichaka.
The leader organised a meeting.,Kiongozi aliandaa mkutano.
The group was named Uganda People's Democratic Army.,Kikundi hicho kiliitwa Jeshi la Kidemokrasia la Watu wa Uganda.
The political wing was led by the former Prime Minister in the Ugandan government.,Mrengo wa kisiasa uliongozwa na waziri mkuu wa zamani katika serikali ya Uganda.
"The group initially stayed in southern Sudan, tolerated by the Sudanese government.","Hapo awali kikundi hicho kilikaa kusini mwa Sudani, kilivumiliwa na serikali ya Sudan."
It is disputed whether the group received actual support from the Sudanese leadership.,Inasemekana ikiwa kikundi kilipokea msaada halisi kutoka kwa uongozi wa Sudan.
The rebel group was not directly supported by the Sudanese government.,Kundi la waasi halikuungwa mkono moja kwa moja na serikali ya Sudan.
The rebel group was organized into eight troops.,Kikundi cha waasi kiliandaliwa katika askari wanane.
The eight officers then began to collect troops inside and outside Uganda.,Maafisa hao wanane walianza kukusanya askari ndani na nje ya Uganda.
The group soon began to clash with another rebel group,Kundi hilo lilianza kugongana na kikundi kingine cha waasi
This motivated the rebel group to return to Uganda.,Hii ilichochea kikundi cha waasi kurudi Uganda.
The rebel group started its first offensive into Uganda.,Kundi la waasi lilianza kukera kwake kwanza kwenda Uganda.
The eight officers then began to collect troops inside and outside Uganda.,Maafisa hao wanane walianza kukusanya askari ndani na nje ya Uganda.
The group soon began to clash with another rebel group,Kundi hilo lilianza kugongana na kikundi kingine cha waasi
This motivated the rebel group to return to Uganda.,Hii ilichochea kikundi cha waasi kurudi Uganda.
The rebel group started its first offensive into Uganda.,Kundi la waasi lilianza kukera kwake kwanza kwenda Uganda.
"At the time, the group was tens of thousands strong.","Wakati huo, kikundi kilikuwa makumi ya maelfu kali."
The group won a number of early victories.,Kikundi kilishinda ushindi kadhaa wa mapema.
An assault of three thousand rebel militants on the border town of Bibia failed.,Shambulio la wanamgambo elfu tatu wa waasi kwenye mji wa mpaka wa Bibia walishindwa.
"The rebels continued their advance, intending to take Gulu.","Waasi waliendelea mapema, wakikusudia kuchukua Gulu."
The rebels retreated after suffering about two hundred casualties.,Waasi walirudi nyuma baada ya kuteseka kama majeruhi mia mbili.
The rebels encountered resistance at Namokora.,Waasi walikutana na upinzani huko Namokora.
The rebels renewed their attack in September.,Waasi walifanya upya shambulio lao mnamo Septemba.
The rebels proved unable to capitalize on this success.,Waasi walithibitisha kuwa hawawezi kufadhili mafanikio haya.
The rebels were thus forced to operate as a rural rebellion.,Waasi kwa hivyo walilazimishwa kufanya kazi kama uasi wa vijijini.
The Uganda People's Democratic Army proved to be undisciplined.,Jeshi la Kidemokrasia la Watu wa Uganda lilionekana kuwa lisilo na maoni.
The party slowly lost civilian support.,Chama polepole kilipoteza msaada wa raia.
The force continued brutal resistant operations in the country.,Kikosi kiliendelea na shughuli sugu za kikatili nchini.
Tea production later increased.,Uzalishaji wa chai baadaye uliongezeka.
The coffee profits declined slightly that year.,Faida za kahawa zilipungua kidogo mwaka huo.
The government doubled producer prices.,Serikali ilizidisha bei ya wazalishaji.
Only about one-tenth of the twenty one thousand hectares under tea cultivation were productive.,Karibu moja tu ya kumi ya hekta ishirini na moja chini ya kilimo cha chai ilikuwa na tija.
Uganda exported about ninety percent of tea produced nationwide.,Uganda ilisafirisha karibu asilimia tisini ya chai iliyozalishwa kote nchini.
Uganda committed itself in barter exchanges with other countries.,Uganda ilijitolea katika kubadilishana kubadilishana na nchi zingine.
Tea harvest rose to six thousand tons.,Mavuno ya chai yaliongezeka hadi tani elfu sita.
The government hoped to produce ten thousand tons of tea.,Serikali ilitarajia kutoa tani elfu kumi za chai.
Two companies had a joint venture with the government.,Kampuni mbili zilikuwa na ubia na serikali.
The company owned three large plantations of tea.,Kampuni hiyo ilikuwa na shamba tatu kubwa za chai.
The Uganda Tea Corporation had about nine hundred hectares in production.,Shirika la Chai la Uganda lilikuwa na hekta mia tisa katika uzalishaji.
The state-owned Agricultural Enterprises Limited managed about three thousand hectares of tea.,Biashara ya Kilimo inayomilikiwa na Serikali ilisimamia takriban hekta elfu tatu za chai.
Several thousand hectares of tea estates remained in a disputed category.,Hekta elfu kadhaa za sehemu za chai zilibaki katika jamii iliyobishaniwa.
Many tea estates were sold to private individuals by the departed Asians' Property Custodian Board.,Sehemu nyingi za chai ziliuzwa kwa watu binafsi na Bodi ya Wasimamizi wa Mali ya Waasia.
